Title,Price,Link,Colors,Image Path
Sigma Upholstered Sofa,"$1,240",https://www.allmodern.com/furniture/pdp/sigma-1095-modular-modern-3-piece-sofa-a100003185.html,", , Ivory Boucle, Pebble Gray Corduroy, Olive Green Velvet",Imgs/Sigma+Upholstered+Sofa.jpg
Brandt 88'' Upholstered Sofa,"$2,299",https://www.allmodern.com/furniture/pdp/brandt-sofa-88-surrey-auburn-fhnd7880.html,", , Dover Crescent White, Orly Natural 100% Polyester, Sapphire Navy, Brown Cotton Blend",Imgs/Brandt+88''+Upholstered+Sofa.jpg
Deirdre 74'' Upholstered Loveseat,"$1,500",https://www.allmodern.com/furniture/pdp/deirdre-74-velvet-round-arm-modular-loveseat-a000301611.html,", , Charcoal Velvet, Taupe Velvet",Imgs/Deirdre+74''+Upholstered+Loveseat.jpg
Belgrade 84'' Genuine Leather Sofa,"$2,230",https://www.allmodern.com/furniture/pdp/belgrade-84-leather-sofa-a000575295.html,", ",Imgs/Belgrade+84''+Genuine+Leather+Sofa.jpg
Cornelia 84'' Genuine Leather Chesterfield Sofa,"$2,170",https://www.allmodern.com/furniture/pdp/cornelia-84-leather-sofa-a001321355.html,", , Vintage Brown Top Grain Leather, Vintage Tobacco Top Grain Leather",Imgs/Cornelia+84''+Genuine+Leather+Chesterfield+Sofa.jpg
Mackey 82'' Upholstered Sofa,"$1,120",https://www.allmodern.com/furniture/pdp/mackey-82-upholstered-sofa-a001159517.html,", , Dusty Blue Velvet, Rust Velvet, Sand Velvet, Willow Green Velvet",Imgs/Mackey+82''+Upholstered+Sofa.jpg
Emer 67'' Upholstered Sofa,"$1,350",https://www.allmodern.com/furniture/pdp/emer-67-round-arm-sofa-a000289286.html,", ",Imgs/Emer+67''+Upholstered+Sofa.jpg
"Merce 134"" Upholstered Modular Sofa","$4,900",https://www.allmodern.com/furniture/pdp/merce-134-upholstered-modular-sofa-nvo11432.html,", , Black Linen, Orange Polyester, Beige Polyester, Brown Polyester, Pink Polyester","Imgs/Merce+134""+Upholstered+Modular+Sofa.jpg"
Kian 89'' Upholstered Sofa,"$1,020",https://www.allmodern.com/furniture/pdp/kian-89-velvet-square-arm-sofa-with-reversible-cushions-falk1628.html,", , Charcoal Revolution®, Mustard Performance Velvet",Imgs/Kian+89''+Upholstered+Sofa.jpg
Nord Sofa,"$2,680",https://www.allmodern.com/furniture/pdp/gus-modern-nord-sofa-hcbi1847.html,", , Casella Grove, Casella Mink, Casella Slate, Rosseau Barley",Imgs/Nord+Sofa.jpg
Geo 84'' Upholstered Sofa,$770,https://www.allmodern.com/furniture/pdp/geo-84-square-arm-sofa-a001114308.html,", , Beige Fabric, Bella Burnt Orange Performance Velvet, Bella Forest Performance Velvet, Bella Gold Performance Velvet, Bella Ink Performance Velvet",Imgs/Geo+84''+Upholstered+Sofa.jpg
Geo 84 inch Genuine Leather Sofa,"$1,100",https://www.allmodern.com/furniture/pdp/geo-84-inch-genuine-leather-sofa-a001172441.html,", , Caramel Genuine Leather, Vintage Black Genuine Leather",Imgs/Geo+84+inch+Genuine+Leather+Sofa.jpg
Benedict 91'' Upholstered Sofa,"$1,080",https://www.allmodern.com/furniture/pdp/benedict-91-upholstered-sofa-a001037807.html,", , Cream  Corduroy, Dust Blue Angel Chenille, Gray Performance Corduroy, Mushroom Textured Performance, Royal Blue Performance Corduroy",Imgs/Benedict+91''+Upholstered+Sofa.jpg
Rae 84'' Upholstered Sofa,"$1,400",https://www.allmodern.com/furniture/pdp/rae-85-upholstered-sofa-a001056981.html,", , Effie Indigo Performance Linen, Effie Linen Performance Linen, Falkirk Military Green, Falkirk Reddish Brown, Falkirk Royal Blue Velvet",Imgs/Rae+84''+Upholstered+Sofa.jpg
George 82'' Upholstered Sofa,"$1,020",https://www.allmodern.com/furniture/pdp/george-82-velvet-tuxedo-arm-sofa-a000868789.html,", , Blush Velvet, Emerald Green Velvet, Olive Velvet, Platinum Gray Velvet, Sapphire Velvet",Imgs/George+82''+Upholstered+Sofa.jpg
Lana 85'' Upholstered Sofa,$900,https://www.allmodern.com/furniture/pdp/lana-85-round-arm-sofa-with-reversible-cushions-a000642236.html,", , Camel Brown Boucle, Cream  Corduroy, Gray Performance Corduroy, Light Gray Polyester Blend, Mocca Angel Chenille",Imgs/Lana+85''+Upholstered+Sofa.jpg
Miller 56'' Upholstered Loveseat,$750,https://www.allmodern.com/furniture/pdp/miller-upholstered-loveseat-a000183771.html,", ,  Light Gray, Cream, Dark Gray, Stax Dust Blue Performance Velvet, Stax Pistachio Performance Velvet",Imgs/Miller+56''+Upholstered+Loveseat.jpg
"Kearney 61"" Upholstered Loveseat","$1,070",https://www.allmodern.com/furniture/pdp/kearney-61-upholstered-loveseat-a000792047.html,", , Danny Cream, Danny Dusty Blue, Danny Shadow Blue, Stax Dust Blue, Stax Light Gray",Imgs/Kearney+61+Upholstered+Loveseat.jpg
Moab 81'' Upholstered Sofa,"$1,230",https://www.allmodern.com/furniture/pdp/moab-81-upholstered-sofa-a000252337.html,", , Flannigan Cotton Tweed, Flannigan Midnight Tweed, Fredrickson Marble Basketweave",Imgs/Moab+81''+Upholstered+Sofa.jpg
Troian 90.16'' Upholstered Sofa,$940,https://www.allmodern.com/furniture/pdp/troian-89-upholstered-sofa-a000983283.html,", , Charcoal Lux Chenille, Latte Lux Chenille, Mustard Performance Velvet, Cream Boucle Performance, Cream Lux Chenille",Imgs/Troian+90.16''+Upholstered+Sofa.jpg
Miller 84'' Upholstered Sofa,"$1,200",https://www.allmodern.com/furniture/pdp/miller-84-upholstered-sofa-a001126946.html,", , Stax Dust Blue Performance Velvet, Stax Pistachio Performance Velvet, Stax Rust Performance Velvet, Venga Cream Performance Cross Weave, White Performance Boucle",Imgs/Miller+84''+Upholstered+Sofa.jpg
Tyndall 91'' Upholstered Sofa,$930,https://www.allmodern.com/furniture/pdp/tyndall-91-upholstered-sofa-a000876055.html,", , Ash Gray Performance Chenille, Beige Textured Performance, Dark Gray, Mushroom, Mushroom Textured Performance",Imgs/Tyndall+91''+Upholstered+Sofa.jpg
Deans 82.3'' Upholstered Sofa,"$1,300",https://www.allmodern.com/furniture/pdp/deans-82-upholstered-sofa-ndcu1256.html,", , Dark Grey Performance Boucle, Firenze Bubblegum, Moss Grass Green, White Performance Boucle",Imgs/Deans+82.3''+Upholstered+Sofa.jpg
Jones 86'' Upholstered Sofa,$690,https://www.allmodern.com/furniture/pdp/jones-86-upholstered-sofa-a001219799.html,", , Flavio Antrazite Polyester Blend, Flavio Army Polyester Blend, Flavio Dusty Blue Polyester Blend, Sapphire Beige Polyester Blend, Sapphire Mouse Grey Performance Velvet",Imgs/Jones+86''+Upholstered+Sofa.jpg
