Title,Link,Sale Price,Regular Price,Image Path,Swatch Colors
"Haven 2-Piece Sleeper Sectional w/ Storage Chaise (115"")",https://www.westelm.com/products/haven-2-piece-sleeper-sectional-w-storage-h7236/?pkey=csectionals,"3,568.30","5,298","images/Haven_2-Piece_Sleeper_Sectional_w__Storage_Chaise_(115"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Frost Gray, Performance Yarn Dyed Linen Weave, Sand"
"Harmony 2-Piece Double Wide Chaise Sectional (131""–146"")",https://www.westelm.com/products/harmony-double-wide-chaise-sectional-h7399/?pkey=csectionals,"3,143.30","4,998","images/Harmony_2-Piece_Double_Wide_Chaise_Sectional_(131""–146"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Andes 3-Piece L-Shaped Sectional (90""–105"")",https://www.westelm.com/products/andes-l-shape-sectional-h1816/?pkey=csectionals,"2,717.45","5,298","images/Andes_3-Piece_L-Shaped_Sectional_(90""–105"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Haven 2-Piece Chaise Sectional (106"")",https://www.westelm.com/products/haven-2-piece-chaise-sectional-h8709/?pkey=csectionals,"2,548.30","4,698","images/Haven_2-Piece_Chaise_Sectional_(106"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Harris 2-Piece Sleeper Sectional w/ Storage Chaise (109"")",https://www.westelm.com/products/harris-sleeper-sectional-w-storage-chaise-h4620/?pkey=csectionals,"2,463.30","4,098","images/Harris_2-Piece_Sleeper_Sectional_w__Storage_Chaise_(109"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Melbourne 3-Piece Ottoman Sectional (116""–126"")",https://www.westelm.com/products/melbourne-3-piece-ottoman-sectional-h11145/?pkey=csectionals,"3,057.45","5,197","images/Melbourne_3-Piece_Ottoman_Sectional_(116""–126"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Haven 3-Piece L-Shaped Sectional (106""–113"")",https://www.westelm.com/products/haven-l-shaped-sectional-h4040/?pkey=csectionals,"3,652.45","6,497","images/Haven_3-Piece_L-Shaped_Sectional_(106""–113"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Haven 2-Piece Double Wide Chaise Sectional (127""–151"")",https://www.westelm.com/products/haven-double-wide-chaise-sectional-h6940/?pkey=csectionals,"2,803.30","4,598","images/Haven_2-Piece_Double_Wide_Chaise_Sectional_(127""–151"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Oliver 3-Piece L-Shaped Sectional (84.5"")",https://www.westelm.com/products/oliver-3-piece-l-shaped-sectional-h11950/?pkey=csectionals,"1,199.20","1,499","images/Oliver_3-Piece_L-Shaped_Sectional_(84.5"").jpg",
"Harris 3-Piece L-Shaped Wedge Sectional (113""–133"")",https://www.westelm.com/products/harris-l-shaped-wedge-sectional-h7409/?pkey=csectionals,"3,099.95","4,847","images/Harris_3-Piece_L-Shaped_Wedge_Sectional_(113""–133"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Hampton Modular Small 3-Piece Ottoman Sectional (88"")",https://www.westelm.com/products/hampton-modular-small-3-piece-ottoman-sectional-h11445/?pkey=csectionals,"2,717.60","4,297","images/Hampton_Modular_Small_3-Piece_Ottoman_Sectional_(88"").jpg","Performance Coastal Linen, Anchor Gray, Performance Coastal Linen, Pewter, Performance Coastal Linen, Frost Gray, Linen, White"
"Urban 3-Piece L-Shaped Sectional (106""–116"")",https://www.westelm.com/products/urban-3-piece-l-shaped-sectional-h1533/?pkey=csectionals,"2,887.45","4,497","images/Urban_3-Piece_L-Shaped_Sectional_(106""–116"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Frost Gray, Performance Yarn Dyed Linen Weave, Sand, Performance Yarn Dyed Linen Weave, Camel"
Platform Modular Sectional - Vegan Leather,https://www.westelm.com/products/platform-modular-sectional-table-vegan-leather-h11580/?pkey=csectionals,196.99,"1,839",images/Platform_Modular_Sectional_-_Vegan_Leather.jpg,
"Andes 2-Piece Chaise Sectional (90""–101"")",https://www.westelm.com/products/andes-chaise-sectional-h2385/?pkey=csectionals,"2,208.30","3,798","images/Andes_2-Piece_Chaise_Sectional_(90""–101"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray, Performance Yarn Dyed Linen Weave, Petrol"
"Harris 2-Piece Chaise Sectional w/ Storage (101""–111"")",https://www.westelm.com/products/harris-2-piece-chaise-sectional-w-storage-h4619/?pkey=csectionals,"2,293.30","3,398","images/Harris_2-Piece_Chaise_Sectional_w__Storage_(101""–111"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Andes 2-Piece Reversible Sectional (85"")",https://www.westelm.com/products/andes-reversible-sectional-h6745/?pkey=csectionals,"1,869.15","2,799","images/Andes_2-Piece_Reversible_Sectional_(85"").jpg","Performance Yarn Dyed Linen Weave, Sand, Performance Yarn Dyed Linen Weave, Petrol, Performance Yarn Dyed Linen Weave, Midnight, Yarn Dyed Linen Weave, Alabaster"
"Harmony Modular 3-Piece U-Shaped Chaise Sectional (158"")",https://www.westelm.com/products/harmony-modular-3-piece-u-shaped-chaise-sectional-h11469/?pkey=csectionals,"4,842.45","7,197","images/Harmony_Modular_3-Piece_U-Shaped_Chaise_Sectional_(158"").jpg","Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray, Performance Yarn Dyed Linen Weave, Sand"
"Laurent 3-Piece L-Shaped Wedge Sectional (111.5"")",https://www.westelm.com/products/laurent-3-piece-l-shaped-wedge-sectional-h12036/?pkey=csectionals,"3,197","4,097","images/Laurent_3-Piece_L-Shaped_Wedge_Sectional_(111.5"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Frost Gray, Performance Yarn Dyed Linen Weave, Sand, Yarn Dyed Linen Weave, Graphite"
"Leroy 3-Piece L-Shaped Sectional (110.5"")",https://www.westelm.com/products/leroy-l-shaped-sectional-h12195/?pkey=csectionals,"3,597","5,097","images/Leroy_3-Piece_L-Shaped_Sectional_(110.5"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Yarn Dyed Linen Weave, Alabaster, Yarn Dyed Linen Weave, Pearl Gray, Yarn Dyed Linen Weave, Pewter"
"Harris 2-Piece Double Wide Chaise Sectional (126""–146"")",https://www.westelm.com/products/harris-double-wide-chaise-sectional-h7407/?pkey=csectionals,"2,420.80","3,598","images/Harris_2-Piece_Double_Wide_Chaise_Sectional_(126""–146"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
