Title,Price,Link,Image Path,Colors
"Fiddle Leaf Fig, Buy a Fiddle Leaf Fig indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$229,https://bloomscape.com/product/fiddle-leaf-fig/,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_fiddle-leaf-fig_charcoal-e1652800894846-324x390.jpg?ver=279577,"Stone, Clay, Charcoal, Slate, Indigo"
"Hibiscus Tabletop, Buy a Hibiscus indoor plant with 6 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$89,https://bloomscape.com/product/hibiscus-tabletop/,images/hibiscustabletop.jpg,
"Olive Tree, Buy a Olive Tree indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$79,https://bloomscape.com/product/olive-tree/,images/olivetree.jpg,
"Bamboo Palm, Buy a Bamboo Palm indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$229,https://bloomscape.com/product/bamboo-palm/,images/bamboopalm.jpg,"Stone, Clay, Charcoal, Slate, Indigo"
"Cat Palm, Buy an XL Cat Palm indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$169,https://bloomscape.com/product/cat-palm/,https://bloomscape.com/wp-content/uploads/2022/06/bloomscape_cat-palm_xxl_plant-stand-324x389.jpg?ver=902655,"Stone, Clay, Charcoal, Slate, Indigo"
"Money Tree, Buy a Money Tree indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$169,https://bloomscape.com/product/money-tree/,images/moneytree.jpg,"Stone, Clay, Charcoal, Slate, Indigo"
"Tough Stuff Collection, Hand-selected set of 3 easy, adaptable plants. Whether you’re starting your plant family or adding to it, these are perfect for your bookshelf, mantle, or in hangers.",$79,https://bloomscape.com/product/tough-stuff-collection/,https://bloomscape.com/wp-content/uploads/2022/07/bloomscape_tough-stuff-collection_taupe-324x389.jpg?ver=916047,"Taupe, Charcoal, White"
"Whale Fin Sansevieria, Buy a Whale Fin Sansevieria indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$79,https://bloomscape.com/product/whale-fin-sansevieria/,https://bloomscape.com/wp-content/uploads/2021/12/Bloomscape_SansevieriaMasoniana_medium_Indigo-scaled-324x405.jpg?ver=640201,"Stone, Clay, Charcoal, Slate, Indigo"
"Ficus Tineke, Buy a Ficus Tineke indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$79,https://bloomscape.com/product/ficus-tineke/,https://bloomscape.com/wp-content/uploads/2023/08/230805_BB_fiscus_elastica_tineke_0876-e1692910966662-324x388.jpg?ver=1057285,"Stone, Clay, Charcoal, Slate, Indigo"
"Monstera Adansonii, Buy a Monstera Adansonii indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$79,https://bloomscape.com/product/monstera-adansonii/,images/monsteraadansonii.jpg,"Stone, Clay, Charcoal, Slate, Indigo"
