Title,Description,Price Range,Link,Image Path,Colors
Hint™,Widespread bathroom sink faucets with lever handles,$282.00 - $408.90,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/hint-widespread-bathroom-sink-faucet-97093-4?skuId=97093-4-CP,kohler\K-97093-4-CP.jpg,"Polished Chrome,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Matte Black"
Parallel™,Widespread bathroom sink faucets with lever handles,$446.92 - $720.15,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/parallel-widespread-bathroom-sink-faucet-w-lever-handles-23484-4n?skuId=23484-4N-CP,kohler\K-23484-4N-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Castia™ by Studio McGee,Widespread bathroom sink faucets with lever handles,$468.75 - $679.69,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/castia-by-studio-mcgee-widespread-bathroom-sink-faucet-1-0-gpm-35908-4k?skuId=35908-4K-CP,kohler\K-35908-4K-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Matte Black"
Purist™,Widespread bathroom sink faucets with cross handles,$524.10 - $838.57,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/purist-widespread-bathroom-sink-faucet-with-low-cross-handles-and-low-gooseneck-spout-14406-3?skuId=14406-3-CP,kohler\K-14406-3-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Purist™,Widespread bathroom sink faucets with cross handles,"$657.22 - $1,051.57",/en/products/bathroom-faucets/shop-bathroom-sink-faucets/purist-widespread-bathroom-sink-faucet-with-high-cross-handles-and-high-gooseneck-spout-14408-3?skuId=14408-3-CP,kohler\K-14408-3-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Purist™,Widespread bathroom sink faucets with lever handles,"$655.91 - $1,049.47",/en/products/bathroom-faucets/shop-bathroom-sink-faucets/purist-widespread-bathroom-sink-faucet-with-high-lever-handles-and-high-gooseneck-spout-14408-4?skuId=14408-4-CP,kohler\K-14408-4-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze,Matte Black"
Purist™,Widespread bathroom sink faucets with cross handles,"$657.22 - $1,051.57",/en/products/bathroom-faucets/shop-bathroom-sink-faucets/purist-widespread-bathroom-sink-faucet-with-low-cross-handles-and-low-spout-14410-3?skuId=14410-3-CP,kohler\K-14410-3-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze,Matte Black"
Purist™,Widespread bathroom sink faucets with lever handles,"$657.22 - $1,051.57",/en/products/bathroom-faucets/shop-bathroom-sink-faucets/purist-widespread-bathroom-sink-faucet-with-low-lever-handles-and-low-spout-14410-4?skuId=14410-4-CP,kohler\K-14410-4-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Tone™,Widespread bathroom sink faucets with lever handles,$348.75 - $505.69,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/tone-widespread-bathroom-sink-faucet-1-0-gpm-27416-4k?skuId=27416-4K-CP,kohler\K-27416-4K-CP.jpg,"Polished Chrome,Vibrant Brushed Moderne Brass,Matte Black with Moderne Brass,Polished Chrome with Matte Black,Vibrant Brushed Nickel,Matte Black"
Devonshire™,Widespread bathroom sink faucets with lever handles,$302.59 - $438.79,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/devonshire-widespread-bathroom-sink-faucet-with-lever-handles-394-4?skuId=394-4-CP,kohler\K-394-4-CP.jpg,"Polished Chrome,Vibrant Polished Brass,Vibrant Brushed Nickel,Oil-Rubbed Bronze"
