Title,Link,Sale Price,Regular Price,Image Path,Swatch Colors
"York Slope Arm Deep Seat Slipcovered Sofa (60""–95"")",https://www.potterybarn.com/products/york-slope-arm-deep-slipcovered-sofa-collection/?pkey=cyork-square-collection,"1,614","3,799","images/York_Slope_Arm_Deep_Seat_Slipcovered_Sofa_(60""–95"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"York Square Arm Sofa (60""–95"")",https://www.potterybarn.com/products/york-square-arm-upholstered-sofa-collection/?pkey=cyork-square-collection,"1,359","3,799","images/York_Square_Arm_Sofa_(60""–95"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"York Slope Arm Slipcovered Sofa (60""–95"")",https://www.potterybarn.com/products/york-slope-arm-slipcovered-sofa-collection/?pkey=cyork-square-collection,"1,444","3,899","images/York_Slope_Arm_Slipcovered_Sofa_(60""–95"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"York Slope Arm Deep Seat Sofa (60""–95"")",https://www.potterybarn.com/products/york-slope-arm-deep-upholstered-sofa-collection/?pkey=cyork-square-collection,"1,529","3,699","images/York_Slope_Arm_Deep_Seat_Sofa_(60""–95"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"York Square Arm Deep Seat Sofa (60""–95"")",https://www.potterybarn.com/products/york-square-arm-deep-upholstered-sofa-collection/?pkey=cyork-square-collection,"1,529","3,699","images/York_Square_Arm_Deep_Seat_Sofa_(60""–95"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"York Square Arm Slipcovered Sofa (60""–95"")",https://www.potterybarn.com/products/york-square-arm-slipcovered-sofa-collection/?pkey=cyork-square-collection,"1,444","3,899","images/York_Square_Arm_Slipcovered_Sofa_(60""–95"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"York Slope Arm Sofa (60""–95"")",https://www.potterybarn.com/products/york-slope-arm-upholstered-sofa-collection/?pkey=cyork-square-collection,"1,359","3,799","images/York_Slope_Arm_Sofa_(60""–95"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"York Roll Arm Sofa (62""–97"")",https://www.potterybarn.com/products/york-roll-arm-upholstered-sofa-collection/?pkey=cyork-square-collection,"1,444","3,799","images/York_Roll_Arm_Sofa_(62""–97"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Pebble, Performance Everydaylinen™, Oatmeal, Performance Everydaylinen™, Ivory"
"York Square Arm Deep Seat Slipcovered Sofa (60""–95"")",https://www.potterybarn.com/products/york-square-arm-deep-slipcovered-sofa-collection/?pkey=cyork-square-collection,"1,614","3,799","images/York_Square_Arm_Deep_Seat_Slipcovered_Sofa_(60""–95"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"York Roll Arm Deep Seat Slipcovered Sofa (62""–97"")",https://www.potterybarn.com/products/york-roll-arm-deep-slipcovered-sofa-collection/?pkey=cyork-square-collection,"1,614","3,799","images/York_Roll_Arm_Deep_Seat_Slipcovered_Sofa_(62""–97"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
